FindNo,N,19,11	x,N,19,11	y,N,19,11	z,N,19,11	SiteCode_M,C,254	Grid,C,254	Area,C,254	Context,N,19,11	Charring,C,254	location,C,254	Bubbly,C,254	Width_mm,N,19,11	Length_mm,N,19,11	Height_mm,N,19,11	Type,C,254	Broken,C,254	Dating,C,254	Photo,C,254	Notes,C,254	F20,C,254	F21,C,254	F22,C,254	F23,C,254	F24,C,254	F25,C,254	F26,C,254	F27,C,254	F28,C,254	F29,C,254
87702	502804.678	481003.416	23.747	SC07			0	Y			30	40	0	Roll				Conserved by YAT										
92464	502800.69375	480992.05604	23.72627	SC10	CT2		234	N			79	130	20	Roll	Y			Large loosely rolled sheet, bark could have been collected and stored for later use										
92672	502800.83384	480991.32436	23.40289	SC10	CT2X		234	N			79	95	33	Roll	Y			Loose roll of bark. Poor condition										
92787	502819.10083	481000.22936	23.54913	SC10			240	N			47	99	34	Roll	Y			Large but fragmentary roll										
92812	502798.69462	481002.90032	23.76573	SC10	CT2		241	N			59	101	25	Roll				Loose roll										
92825	0	0	0	SC10			240	N			35	205	22	Roll	Y		Y	Very large roll										
94053	502797.1686	481010.8958	24.25643	SC14	A26		310	N			49	141	32	Roll				Rolled bark										
94055	502796.9949	481011.1362	24.23185	SC13	A26	dry land	310	N			0	0	0	Bark				Flat piece of bark										
94058	502796.9606	481011.3694	24.27463	SC13	A26	dry land	310	N			30	72	13	Roll			Y	Fragile thin and papery roll										
94084	502797.4312	481010.2391	24.22559	SC13	A25	dry land	310	Y			0	0	0	Bark	Y			Small fragment of bark, could poss be a roll fragment										
94086	502797.2675	481010.5447	24.2119	SC13	A26	dry land	310	N			0	0	0	Roll	Y			Several small thin pieces of birch bark roll fragments.										
94289	502799.33	481008.3617	24.21672	SC13	B23	dry land	310	N			0	0	0	Bark			Y	Thick flat piece of bark. Hole in one piece is not a anthropogenic perforation. Thick bark has been cut vertically- bark does not come off the tree natually this way										
95807	502797.3229	481011.8617	24.39856	SC13	A27	dry land	310	Y			0	0	0	Roll	Y			Remain of a roll										
95931	502796.9083	481011.8885	24.30836	SC13	A27	dry land	310	N			127	50	0	Bark	Y			Fragments of bark, cut bark										
95934	502797.1906	481011.7486	24.31574	SC13	A27	dry land	310	Y			0	0	0	Roll	Y			Several broken roll fragments										
95947	502797.1427	481011.8202	24.33045	SC13	A27	dry land	310	N			0	0	0	Bark	Y			Small fragments of bark										
107756	502817.4729	480995.3505	23.44094	SC14	Q5	detritral wood	312	Y			0	0	0	Torch	Y		Y	Associated with a stick, fragments of BBR crumbles like charcoal, not a complete BBR, mixture of BB, charcoal and stick. Roundwood, SH, 3, both ends broken. Moderate charring, 130 x 17 x 15mm, 1/2 twist along length										
107865	502818.4115	480992.3673	23.45246	SC14			312	N			0	0	0	Roll	Y			Broken roll in fragments										
107890	502805.9708	480992.0716	23.5644	SC14	D3	lake	310	N			51	109	0	Roll	Y			Large fragmentary roll, no charring visible										
107899	502802.3843	480992.5213	23.6492	SC14	A3	lake	310	N			30	140	0	Roll	Y			Long roll of medium bark thickness, no charring										
107989	502818.8102	480992.2876	23.37712	SC14	Q2	detritral wood	312	N			0	0	0	Bark				Flat Fragment of birch bark, badly preserved										
107990	502821.3564	480993.514	23.39195	SC14	S2	detritral wood	317	N			0	0	0	Bark	Y			Birch bark fragments; 2 thick bark pieces										
108102	502801.5039	480994.2702	23.63708	SC14	A7	lake	312	N			14	41.3	25	Roll				Roll with dark staining in the interior										
108146	502817.5409	480994.2167	23.38527	SC14	Q4	detritral wood	312	Y	outer	Y	15	106	13	Roll			Y	Small roll fragmentary. Bubbly appearance where charring occurred along length of roll										
108147	502816.3772	480994.4198	23.44131	SC14	O4	detritral wood	312	N			34	40	31	Roll				Well preserved short  roll										
108454	502803.9377	480995.2999	23.61145	SC14	C9	lake	310	Y			130	130	0	Roll				Badly degraded inside, flattened										
