Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
92465	#N/A	#N/A	#N/A	SC10	TR34				312		Clark	Y - A		Salix spp.	AH	N	ART		N		N				N	None		H	4	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		Y	Dowel	Digging Stick	Digging stick - complete	-					N									
93551	502802.52909	481002.68372	23.5778	SC13	TR34	D	17		312	1	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends truncated. Modern root damage	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				780					Y	70	48						MB	200513
93552	502804.03053	481002.77319	23.56381	SC13	TR34				312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight, even stem, central pith, no side branches	N				N	Modern	Both ends missing	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				381					Y	14	6						MB	200513
93553	502803.88901	481002.46978	23.54251	SC13	TR34	B	13		312	1	Brushwood Area	Y - A		Populus spp.	SA Oddly textured, fibrous, harder wood	N	ART		N		N				N	None		H	5	Y	SP TR	0		Both ends TR / rounded and slightly flattened.	1	0	1	0	0	0	0	Tan	N			Y	Possible use wear on end. Very smooth and ?polished	Y	Utilised Debris	Ad-hoc tool, ?burnishing	Utilsied debris	256	20		8		N								MB	200513
93554	502803.20195	481002.76174	23.59504	SC13	TR34	E	16		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight, even stem, central pith, no side branches	N				N	Modern	Both ends missing, freq root damage	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				520					Y	19	10						MB	200513
93556	502803.56213	481003.03138	23.61596	SC13	TR34	E	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW	Y shaped	N		N				N	Modern	Truncated to S by Clark's Trench. Both S ends degraded. Freq root damage	BSH	3	N		0			0	0	0	0	0	0	0		Y	Lightly	c. 1mm on Underside of proximal / N end	N		N				1675					Y	75	52						MB	200513
93558	502802.36271	481003.23138	23.6447	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	Modern	Fragmented x 2	H	4	Y	SP TR	1	Rad	possible tool facets	1	0	1	0	0	0	0		N			N		N				130	56		4		N								MB	210513
93586	502802.88945	481002.79031	23.62848	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	RW		N		N				N	None		SH	4	Y	TR	0		one end / chopped about	0	0	1	0	0	0	0		N			N		N				270					Y	80	44						MB	200513
93588	502803.06062	481002.88117	23.60097	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	None		SH	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				187	60		23		N								MB	200513
94001	502800.25215	481001.27274	24.81013	SC13	TR34	A	16		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				105					Y	15	10						MB	240513
94002	#N/A	#N/A	#N/A	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				290					Y	11	5						MB	240513
94003	502799.07793	481003.63198	25.01607	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				440					Y	16	7						MB	240513
94004	502798.93892	481003.71808	25.0273	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	One end truncated by clark, one end degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				498					Y	22	6						MB	240513
