Finds_numb,N,19,11	Phase,C,254	X,N,19,11	Y,N,19,11	Z,N,19,11	Location,C,254	SiteCode,C,254	Trench,C,254	Context,C,254	Grid,C,254	Type,C,254	Species,C,254	Element,C,254	Side,C,254	Preservati,C,254	Informatio,N,19,11	Taphonomy,C,254	JellyBone,C,254	Measuremen,C,254	Action,C,254	ZooMsID,C,254	Notes,C,254
80400	Test pit	502901.4669	480999.7058	25.20354		VP05	SC06	?		Bone	Bird sp.	Femur frag.	Right	C	3	Fragile; fragmentary; compression damage; cracking	No	-			
81804	Test pit	502980.9341	480909.5279	23.68705		VP05	SC20	grey/brown sand and peat interface		Bone	Red deer	Tibia frag.	Left	C	3	Robust; spiral fracture; carnivore gnawing; excavation damage; modern damage	No	-			
81805	Test pit	502980.8036	480909.8283	23.72402		VP05	SC20	Grey sand/peat interface		Bone	Large mammal sp.	Tibia frag.	-	C	3	Robust; spiral fracture; cracking; root etching; post-depositional breakage	No	-			
81808	Test pit	502981.6741	480909.2659	23.59562		VP05	SC20	Reed peat		Bone	Red deer	Femur frag.	-	C	3	Robust; percussion break; spiral fracture; delamination; modern damage	No	-			
81809	Test pit	502980.5119	480908.6758	23.82297		VP05	SC20	Reed peat		Bone	Red deer	Astragalus	Left	B	4	Robust; excavation damage; root etching	No	BD: 37.5mm, BD: 37mm, LG: 60mm			
81810	Test pit	502981.6187	480909.1748	23.53676		VP05	SC20	Reed peat		Bone	Red deer	Femur frag.	-	C	2	Fragmentary; robust; spiral fracture; desiccated; delaminating; cracking	No	-			
81811	Test pit	502981.6922	480909.117	23.53546		VP05	SC20	?		Bone	Unidentified	Unidentified	-	D	2	Fragmentary; robust; desiccated	No	-			
82233	Test pit	502963.1923	480930.6809	24.33141		VP05	SC18	Till		Bone	Red deer	Metatarsal	Left	B	3	Desiccated; spiral fracture; concretions; flaking; modern damage	No	-			
82405	Test pit	502839.899	481003.292	24.431		VP05	SC18	Till		Bone	Unidentified	Unidentified	-	D	1	Desiccated; fragmentary	No	-			
87080	Test pit	502911.0779	481161.0129	23.51831	No sample left	SC08	SC29	119		Bone	Unidentified	Unidentified		D, E, H	1	Demineralised; compressed; splitting; cracking	Yes	-			
0	Test pit	0	0	0		VP05	??	??		Bone	Aurochs	Tibia	Left	C	3	Robust; desiccated; cracking; delamination; fragmentary; spiral fracture; rounding	No	-			
82426	Eastern platform	502838.197	481000.113	23.697	178	SC06	SC22	317	0	Antler	Red deer	Antler	 -	D	3	Fragmentary, compressed, desiccated	 -	 -	Conserved	0	3 bags. Located in a slim white box labelled 'YAT Conserved Antler, Box 19'.
82521	Eastern platform	502838.231	480999.818	23.621	177	SC06	SC22	317	0	Antler	Red deer	Antler	 -	D	3	Fragmentary, compressed, desiccated	 -	 -	Conserved	0	4 bags. Located in a slim white box labelled 'YAT Conserved Antler, Box 18'.
82525	Eastern platform	0	0	0	178	SC06	SC22	317	0	Antler	Red deer	Antler	 -	D	3	Compressed, desiccated	 -	 -	Conserved	0	Located in a slim white box labelled 'YAT Conserved Antler, Box 19'.
82526	Eastern platform	502837.692	481000.237	23.661	177	SC06	SC22	317	0	Antler	Red deer	Antler	 -	D	3	Fragmentary, compressed, desiccated	 -	 -	Conserved	0	6 bags. Located in a slim white box labelled 'YAT Conserved Antler, Box 18'.
