yr,C,254	No,N,19,11	TP,C,254	Context,N,19,11	X,N,19,11	Y,N,19,11	z,N,19,11	Sq_no,C,254	q,N,19,11	c,C,254	cat,C,254	s_cat,C,254	length,N,19,11	width,C,254	thickness,C,254	re_ut,C,254	b,C,254	cor,C,254	source,C,254	p,C,254	mat,C,254	col,C,254	for_residu,C,254	for_usewea,C,254	F25,C,254	Microwear,C,254	notes,C,254	scatter,C,254	Refit_grou,C,254	refit_no,C,254	F31,C,254	F32,C,254	Refit_grp,N,5,0	Refit_num,N,5,0
SC04	80001	SC1	99900	502911.93	480980.4	25.03		1	c	bl		68					1	peb		dr	br												
SC04	80002	SC1	99900	502912.09	480980.04	25		1	d	fr		0								w/dr	gr												
SC04	80003	SC1	99900	502911.04	480979.9	25.04		1	d	fr		0								dr													
SC04	80004	SC1	99900	502910.6	480980.7	25.06		1	c	fl		0					0			dr													
SC04	80005	SC1	99900	502911.42	480979.56	25.02		1	d	fr		0			ut?		c			dr	gr												
SC04	80006	SC1	99900	502911.51	480979.83	24.95		1	c	fl		0					0			dr													
SC04	80007	SC1	99900	502911.25	480981.1	24.87		1	pd	fr		0				b																	
SC04	80008	SC1	99900	502910.77	480980.15	24.87		1	p	cpf?	co tab	0					c			dr	br												
SC04	80009	SC1	99900	502910.98	480980.56	24.85		1	d	blt		0								dr	gr												
SC04	80010	SC1	99902	502911.03	480979.73	24.85		1	d	fr		0								dr	gr												
SC04	80011	SC1	99902	502911.41	480979.91	24.85		1		ch		0					4	peb		dr	gr												
SC04	80012	SC1	99902	502911.34	480980.5	24.8		1	c	b	ab on br	64					2	peb		dr?	gr												
SC04	80013	SC1	99902	502911.26	480980.54	24.8		1	p	blt		0								w/dr	gr												
SC04	80014	SC1	99902	502911.28	480979.93	24.84		1	d	blt		0								dr	br												
SC04	80015	SC1	99902	502910.82	480980.69	24.79		1	m	fr		0					c			dr	gr												
SC04	80016	SC1	99902	502910.56	480980.89	24.77		1	c	sc	double	21					0			dr	gr												
SC04	80017	SC1	99902	502910.92	480979.86	24.82		1	d	fr		0								dr	br												
SC04	80018	SC1	99902	502911.2	480981.42	24.76		1	p	fr		0								dr	br												
SC04	80019	SC1	99902	502912.11	480980.51	24.74		1	p	fr		0					c			dr	gr												
SC04	80020	SC1	99902	502911.38	480980.55	24.78		1	p	fr		0								dr	gr												
SC04	80021	SC1	99902	502910.62	480979.6	24.81		1	c	blt		33					0			dr	gr												
SC04	80022	SC1	99902	502911.01	480980.04	24.8		1	c	blt		25								dr	gr												
SC04	80023	SC1	99902	502910.93	480980.47	24.8		1	c	fl		0				b	1	peb															
SC04	80024	SC1	99902	502910.75	480980	24.78		1	d	fr		0					0			dr	br												
SC04	80025	SC1	99902	502912.15	480981.2	24.77		1	d	cpf	plunging	0					c			w	gr												
SC04	80026	SC1	99902	502911.48	480979.84	24.77		1	p	fr		0								dr	br												
SC04	80027	SC1	99902	502911.48	480981.22	24.72		1	c	co	a2	37					2	peb		dr	gr												
SC04	80028	SC1	99902	502911.78	480980.53	24.72		1	p	fr		0								dr													
SC04	80029	SC1	99902	502911.45	480980.47	24.74		1	p	blt		0								w	gr												
SC04	80030	SC1	99902	502910.64	480980.93	24.74		1	c	sc	short	28					1	peb		dr	red												
SC04	80031	SC1	99902	502910.54	480979.59	24.86		1	d	blt		0			ut					dr	br												
SC04	80101	SC2	0	502885.57	480979.31	23.88		1	d	fr		0			re		c			dr	br												
SC04	80102	SC4	99901	502898.49	480985.56	25		1	d	blt		0								dr	br												
SC04	80103	SC4	99901	502898.27	480986	24.99		1	d	fr		0								w	op wh												
SC04	80104	SC4	99901	502897.85	480985.14	24.97		1	c	fl		0			ut		0			dr	gr												
SC04	80105	SC4	99901	502897.97	480985.31	24.93		1		fl		0					c			w	op wh												
SC04	80106	SC4	99902	502897.97	480985.96	24.91		1	d	fl		0			?					dr	br												
SC04	80107	SC4	99902	502898.28	480985.28	24.94		0		nat		0																					
SC04	80108	SC4	99902	502898.35	480985.8	24.88		1		ch		0			gl		2	peb		dr	gr												
SC04	80109	SC4	99902	502898.26	480985.42	24.85		1	p	fr		0					c			dr	red												
SC04	80110	SC4	99902	502897.93	480986.04	24.84		1	c	fl		0					0			dr	br												
SC04	80111	SC4	99902	502897.79	480985.93	24.87		1	p	fr		0								dr	br												
SC04	80112	SC4	99902	502897.44	480985.52	24.9		1	d	blt		0								dr	br												
SC04	80113	SC4	99902	502897.63	480985.23	24.89		1	p	fr		0								dr	br												
SC04	80114	SC4	99902	502897.44	480985.46	24.84		1	p	blt		0								dr	br												
SC04	80115	SC4	99902	502897.58	480985.35	24.85		1	c	bl		52			ut and gl		1	peb		dr	gr												
SC04	80116	SC4	99902	502897.65	480985.44	24.86		1	c	blt		31				b	0																
SC04	80117	SC4	99902	502897.73	480985.3	24.86		1	pd	fr		0					c	peb		dr	br												
SC04	80118	SC4	99902	502897.72	480985.58	24.85		1	d	fr		0					c	peb		dr	red												
SC04	80119	SC4	99902	502897.67	480985.6	24.85		1	m	fr		0								dr													
SC04	80120	SC4	99902	502897.32	480985.87	24.83		1	c	blt		0					0			dr													
SC04	80121	SC4	99902	502898.04	480985.41	24.82		1	m	fr		0								dr													
SC04	80122	SC4	99902	502898.15	480985.44	24.83		1	m	fr		0								dr	br												
SC04	80123	SC4	99902	502898.34	480985.44	24.82		1	c	fl		0					1	?		dr	br												
SC04	80124	SC4	99902	502898.14	480985.6	24.83		1	pd	ch		0					3	pep/dr		dr	gr												
SC04	80125	SC4	99902	502897.49	480985.93	24.77		1	d	fr		0					c			dr	gr												
SC04	80126	SC4	99902	502897.74	480985.69	24.8		1	d	blt		0								dr													
SC04	80127	SC4	99902	502897.98	480985.73	24.8		1	c	fl		0					1	peb		dr	br												
SC04	80128	SC4	99902	502898.13	480985.41	24.8		1	c	fl		0					0			dr	br												
SC04	80129	SC4	99902	502897.7	480985.24	24.79		1	c	blt		31					0			dr	br												
SC04	80130	SC4	99902	502898.14	480985.36	24.79		1	d	fr		0				b	c																
SC04	80151	SC3	99902	502913.86	480963.63	24.46		1	c	co	a2	30					2	peb		dr	gr												
SC04	80152	SC5	99901	502955.68	480967.76	24.39		1	p	fr		0								w/dr	gr												
SC04	80153	SC5	99901	502955.62	480967.67	24.38		1	c	fl		0					1	?		dr	gr												
SC04	80154	SC5	99901	502955.58	480967.73	24.36		1	c	blt		17					0			w/dr	gr												
SC04	80155	SC5	99901	502955.19	480967.29	24.4		1	m	fr		0								dr	gr												
SC04	80156	SC5	99915	502955.5	480967.75	24.39		1	c	fl		0					0			dr	gr												
SC04	80157	SC5	99915	502955.39	480967.42	24.38		1	p	fr		0								dr	gr												
SC04	80158	SC5	99915	502955.46	480967.03	24.36		1	c	bl		65			ut and gl		1	dr		dr	br												
SC04	80159	SC5	99915	502955.46	480967.03	24.36		1	d	fr		0					c			w/dr	gr												
SC04	80160	SC5	99915	502955.46	480967.03	24.36		1	p	fr		0								w/dr	gr												
SC04	80161	SC5	99915	502955.46	480967.03	24.36		1	m	blt		0								dr	gr												
SC04	80162	SC5	99915	502955.46	480967.03	24.36		1	c	fl		0					0			dr	br												
SC04	80163	SC5	99915	502955.46	480967.03	24.36		1	c	bl		65			ut		0			w	gr												
SC05	80200	SC8	4	502885.6212	481017.6913	26.21931		1	p	mb	prx	0								dr	br st												
SC05	80201	SC8	4	502885.8748	481017.3814	26.20887		1	p	fr		0								dr	br												
SC05	80202	SC8	4	502885.3643	481017.5768	26.20758		1	p	fr		0								dr	gr												
SC05	80203	SC8	4	502885.362	481017.3116	26.18591		1	m	fr		0								dr	br												
SC05	80204	SC8	4	502885.1492	481017.0189	26.16641		1	p	fr		0								w	gr												
SC05	80205	SC8	4	502885.2346	481017.0166	26.17867		1	p	fr		0								dr	br												
