SiteCode,C,254	x,N,16,6	y,N,16,6	z,N,16,6	FindSample,N,16,6	Trench,C,254	Context,C,254	Grid,C,254	Date,C,254	Initials,C,254	Species,C,254	Notes,C,254	Burnt_,C,254	Notes1,C,254	Burnt_and,C,254	Notes2,C,254	Modified__,C,254	Notes3,C,254	Illustrati,C,254	Photograph,C,254	Canon_phot,C,254	Diameter,C,254	Depth,N,16,6	Thickness,N,16,6
SC06	502837.226	480999.542	23.479	82757	22	39				Fomes fomentarius	One essentially intact fungus. Some compression evident that is likely to have occurred post recovery. It may also have derived from the underside of a branch.	Yes	Heavily burnt interior of a Fomes	Yes	Lacking the exterior of the fungus	Yes	Interior of the fungus present only	No	No	7214-7218	Measurements meaningless	0	0
SC06	502839.314	480998.051	23.615	82832	22	35				Fomes fomentarius	One essentially complete and intact fungus. The specimen probably derived from under a branch.	Yes	Heavily burnt (carbonised)	No		No		No	No	7224-7229	Measurements meaningless	0	0
SC10	0	0	0	92309	CTII	Backfill				Fomes fomentarius	The specimen may have derived from a larger fruit body.	Yes	Heavily burnt and therefore black in colour	Yes	Likely to have been intentionally removed from the original specimen	Yes	Specimen represents a strip	No	No	7263-7265	Measurements meaningless	0	0
SC10	0	0	0	92318	CTII	Backfill				Fomes fomentarius	One incomplete specimen that has fragmented into two pieces, which can be refitted.	Yes	Specimen is partially carbonised.	No		No		No	No	7219-7223	Measurements meaningless	0	0
SC10	502806.56844	481002.39853	23.60506	92443	24	84				Fomes fomentarius	Specimen is largely intact although some compression has occurred, probably post excavation. The specimen has definitely grown from under a branch.	No		No		?	See notes.	No	No	Photographs not taken	Measurements meaningless	0	0
SC10	502798.46819	481003.98574	23.78034	92781	CTIIX	Clay				Fomes fomentarius	Specimen may have derived from a larger fruit although this is difficult to ascertain with any certainty.	No		No		Yes	Specimen represents an intentionally removed strip.	No	No	7328-7329	Measurements meaningless	0	0
SC10	502798.77887	481002.76834	23.82669	92803	CTIIX	241				Fomes fomentarius	One incomplete specimen.	No		No		No		No	No	7322-7324	7.7	6.4	4.6
SC10	502798.37983	481003.86054	23.71291	92833	CTII	242				Piptoporus belulinus		Yes	It has been heavily burnt, and is essentially carbonised and black in colour.	No		No		No	No	7281-7282	12	7.2	6.5
SC10	0	0	0	92853	24	93				Unidentifiable	One fragment of a fungus that was adhering to a piece of peat. Specimen removed from peat and subsequently broken into four pieces.	Yes	Heavily carbonised flesh of a fruit.	Yes	Modified because it has been removed from the original specimen and then burnt.	Yes	See notes.	No	No	7332-7333	Measurements meaningless	0	0
SC13	502799.589	481001.4322	23.46885	98141	34	317	A16	01/06/2013	MGB	Fomes fomentarius	One largely intact specimen	No		No		No		No	No	7283-7289	10.2	11.4	7.3
SC13	502820.6371	480998.3225	23.44063	99031	34	312	T8	08/06/2013		Fomes fomentarius		Yes		Yes		Yes	Specimen represents a strip and thus modified	No	No	7240-7245	Measurements meaningless	0	0
SC13	502818.4407	480998.6738	23.37935	99168	34	312	R8	11/06/2013	JW	Fomes fomentarius		Yes	Specimen exhibits some carbonisation and scorching.	Yes		Yes	Some removal of the outer surface.	No	No	7325-7327	Measurements meaningless	0	0
SC13	502820.1619	480999.4528	23.3681	99199	34	312	T9	11/06/2013	KJG	Fomes fomentarius	One essentially complete specimen	Yes	It is dark brown/black in colour and to the touch it feels as though it has been carbonised.	Yes		Yes	Probably modified, some portions of the fruit have been removed.	No	No	7276-7280	Measurements meaningless	0	0
SC13	502811.1507	481001.979	23.55574	99306	34	310	M14	14/06/2013	JS	Fomes fomentarius	11 fragments of a fruit body (only the largest fragment photographed); specimen is crumbly, fragile and friable	Yes		No		No		No	No	7296-7300	6.1	9.9	6.6
SC13	502808.2264	481001.6489	23.5837	99379	34	310	I14	11/06/2013		Fomes fomentarius	Numerous fragments deriving from one fruit.	Yes	Some burning present	Yes		Yes	Some removal of the outer surface has taken place.	No	No	7375-7378	22.3	13.4	8.4
SC13	502808.869	481003.7607	23.66375	99380	34	310	J15	11/06/2013	HR	Fomes fomentarius	ca. 12 fragments deriving from the same specimen	Yes	The fruit has been heavily burnt and is robust, essentially carbonised and black in colour.	Yes		Yes	Example has probably been intentionally removed from the original fruit. In addition, it would appear that strips have been removed from the top.	No	No	7272-7275	n/a	0	5.8
SC13	502802.3495	481004.3368	23.38013	99388	34	317	D18	21/06/2013		Fomes fomentarius	Five fragments that are probably derived from the same fruit.	Yes	One carbonised fragment of a fruit. The specimen is black in colour, and has warped, which may have been the result of the heat.	No		?	Modification cannot be ruled out since the specimen is heavily burnt.	No	No	7330-7331	Measurements meaningless	0	0
SC13	502818.1022	480997.7128	23.37026	99458	34	312	R8	12/06/2013	JW	Fomes fomentarius		No		No		Yes	Exterior removed.	No	No	7311-7315	Measurements meaningless	0	0
SC13	502820.8692	480997.5786	23.34852	99472	34	312	T7	11/06/2013		Fomes fomentarius	Incomplete specimen; likely to have derived from a larger fruit body, and one with a diameter >10 cm; looks as though it has been hit during excavation though	Yes	Specimen is essentially carbonised.	Yes		Yes	The modification appears to be cutting through the outer surface of the flesh.	No	No	7398-7400	Measurements meaningless	0	0
SC13	502818.4394	480997.6854	23.22561	99481	34	312	R8	12/06/2013	JW	Fomes fomentarius		Yes	It is essentially carbonised, and black in colour.	Yes		Yes	Specimen represents a strip	No	No	7353-7355	Measurements meaningless	0	0
