Finds_no_,N,19,11	Site,C,254	x,N,19,11	y,N,19,11	z,N,19,11	Trench,N,19,11	Context,N,19,11	Grid,C,254	Type,C,254	Burnt,C,254	Utilised,C,254	Use,C,254	ID,C,254	Notes,C,254
92937	SC13	502816.88562	481006.25836	24.35911	34	302	S16	Stone					
92973	SC13	502802.37032	481016.21561	25.04836	34	308	G30	Stone			Not lifted	Not lifted	Not lifted
92976	SC13	502802.55351	481016.01705	25.02783	34	308	G30	Stone					Disintergrated on lifting - THROWN AWAY
92977	SC13	502802.54207	481015.96023	25.03155	34	308	G30	Stone					Disintergrated on lifting - THROWN AWAY
93176	SC13	502798.36197	481005.61742	24.03262	34	310	A19	Stone					
93216	SC13	502798.31222	481006.45928	24.08038	34	310	A20	Stone					
93217	SC13	502798.28148	481006.43438	24.10194	34	310	A20	Stone					
93218	SC13	502798.30382	481006.45369	24.10268	34	310	A20	Stone					
93219	SC13	502798.37047	481006.43844	24.09743	34	310	A20	Stone					
93231	SC13	502798.34955	481006.47661	24.09206	34	310	A20	Stone					
93234	SC13	502798.95693	481003.0442	23.80915	34	310	A17	Stone					
93235	SC13	502799.67777	481002.69635	23.78569	34	310	A17	Stone					
93244	SC13	502798.1059	481006.85403	24.1746	34	310	A20	Stone					
93246	SC13	502799.10181	481003.57276	23.81421	34	310	A17	Stone					
93247	SC13	502798.013	481006.80747	24.16807	34	310	A20	Stone					
93248	SC13	502799.67268	481003.0059	23.79676	34	310	A17	Stone					
93256	SC13	502799.44562	481003.26273	23.81769	34	310	A17	Stone					
93349	SC13	502799.58519	481009.05406	24.39353	34	310	C24	Stone					
93398	SC13	502799.13512	481010.80282	24.49772	34	308	B26	Stone					
93761	SC13	502800.90704	481007.83706	24.22827	34	308	D23	Stone					
93762	SC13	502797.88104	481010.23471	24.34917	34	310	A25	Stone					
93769	SC13	502798.54206	481010.38242	24.3982	34	310	B25	Stone	Y				
93772	SC13	502799.45517	481009.436	24.37827	34	308	B24	Stone					
93782	SC13	502799.41508	481009.63665	24.33795	34	310	B24	Stone					
93785	SC13	502797.56947	481009.95581	24.161	34	310	A25	Stone					
93790	SC13	502799.23901	481009.54514	24.33635	34	310	B24	Stone					
93791	SC13	502799.20772	481009.48161	24.32411	34	310	B24	Stone					
93803	SC13	502798.32848	481005.52226	24.0376	34	310	A19	Stone					
93804	SC13	502798.28078	481007.04618	24.19328	34	310	A20	Stone	Y				
93805	SC13	502798.02459	481006.75721	24.12218	34	310	A20	Stone					
93811	SC13	502798.80995	481003.8339	23.8253	34	312	J18	Stone					
93819	SC13	502798.20786	481005.52527	24.04665	34	310	A19	Stone	Y				
93820	SC13	502798.3147	481005.41469	24.0399	34	310	A19	Stone					
93828	SC13	502798.16263	481007.01589	24.13543	34	310	A20	Stone					
